Trigger Count=10257	Output Count=6615	Elapsed Time=02:26.596	Number of Pulses CH0=2	Number of Pulses CH1=0
te (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.0600	Channel 1 threshold (V)=0.0600	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.424000E-6	0.365681	2.779008E-8	7.416000E-6	0.411685	2.933010E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.363808	2.836358E-8	7.416000E-6	0.413436	2.960419E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.363059	2.809559E-8	7.420000E-6	0.411132	2.967335E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.366652	2.782134E-8	7.420000E-6	0.411408	2.977883E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.366194	2.771349E-8	7.416000E-6	0.412925	2.933836E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.360295	2.821604E-8	7.416000E-6	0.411483	2.918975E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.364435	2.823922E-8	7.420000E-6	0.415467	2.979729E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.367246	2.799706E-8	7.420000E-6	0.409638	2.984225E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.300389	3.092190E-8	7.420000E-6	0.412529	2.956094E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.367319	2.784873E-8	7.416000E-6	0.415773	2.930571E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.365187	2.829431E-8	7.416000E-6	0.411209	2.919930E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.363599	2.822601E-8	7.420000E-6	0.413892	2.974431E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.364829	2.766042E-8	7.420000E-6	0.409451	2.984512E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.365488	2.777719E-8	7.416000E-6	0.414132	2.945913E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.360259	2.833437E-8	7.416000E-6	0.411100	2.923413E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
