Trigger Count=612	Output Count=612	Elapsed Time=06.114	Number of Pulses CH0=2	Number of Pulses CH1=0
ple rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.0600	Channel 1 threshold (V)=0.0600	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.424000E-6	0.703058	2.820524E-8	8.424000E-6	0.143488	2.904330E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696673	2.780854E-8	8.424000E-6	0.148587	2.877458E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.670778	2.847400E-8	8.424000E-6	0.146260	2.892483E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698828	2.792596E-8	8.428000E-6	0.145909	2.890120E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700864	2.816610E-8	8.424000E-6	0.144835	2.937489E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.688497	2.840988E-8	8.424000E-6	0.146547	2.882408E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696687	2.833054E-8	8.424000E-6	0.146248	2.869821E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695854	2.796471E-8	8.424000E-6	0.145223	2.896589E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.703304	2.784653E-8	8.424000E-6	0.148732	2.880867E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.704076	2.781509E-8	8.428000E-6	0.147330	2.907412E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696866	2.794663E-8	8.428000E-6	0.146980	2.863019E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695550	2.839857E-8	8.424000E-6	0.144000	2.932107E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.693112	2.837112E-8	8.424000E-6	0.141759	2.914476E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.694467	2.826430E-8	8.424000E-6	0.146663	2.960297E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697293	2.788406E-8	8.424000E-6	0.144597	2.923175E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.672988	2.851044E-8	8.424000E-6	0.146118	2.913660E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.702270	2.779815E-8	8.428000E-6	0.148544	2.875953E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.699065	2.818171E-8	8.424000E-6	0.146223	2.930995E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.686342	2.835918E-8	8.424000E-6	0.142570	2.922472E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695382	2.840541E-8	8.424000E-6	0.146983	2.914606E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696891	2.797740E-8	8.424000E-6	0.146191	2.911406E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.699057	2.780827E-8	8.424000E-6	0.144061	2.915537E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.698578	2.796408E-8	8.424000E-6	0.144694	2.924532E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
