Trigger Count=1396	Output Count=527	Elapsed Time=13.958	Number of Pulses CH0=2	Number of Pulses CH1=0
le rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.0600	Channel 1 threshold (V)=0.0600	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.424000E-6	0.694660	2.859414E-8	8.440000E-6	0.064393	2.932015E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696858	2.796101E-8	8.432000E-6	0.064710	3.028545E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.702595	2.779989E-8	8.428000E-6	0.061474	2.882084E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.699674	2.815411E-8	8.428000E-6	0.062890	2.963249E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697146	2.838054E-8	8.428000E-6	0.063718	3.066245E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.694339	2.823040E-8	8.448000E-6	0.062632	2.993468E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.702057	2.808840E-8	8.444000E-6	0.063008	2.849935E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.692774	2.836694E-8	8.448000E-6	0.059610	3.031082E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698753	2.804991E-8	8.440000E-6	0.064593	2.925411E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.699865	2.777155E-8	8.440000E-6	0.060881	2.888757E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700596	2.811813E-8	8.440000E-6	0.066360	2.807121E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.702499	2.792160E-8	8.428000E-6	0.061814	2.962323E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.694242	2.842445E-8	8.448000E-6	0.063290	2.902277E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697696	2.809372E-8	8.448000E-6	0.063082	3.079909E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697079	2.851616E-8	8.436000E-6	0.063875	2.959857E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698112	2.786503E-8	8.432000E-6	0.064015	2.925572E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.568711	3.100086E-8	8.440000E-6	0.061450	2.916736E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.693450	2.849598E-8	8.432000E-6	0.064080	2.963130E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.699792	2.824258E-8	8.432000E-6	0.064210	2.953532E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.673708	2.851566E-8	8.444000E-6	0.053753	3.224320E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.692656	2.821967E-8	8.440000E-6	0.061011	2.998387E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.700559	2.775491E-8	8.440000E-6	0.064111	2.878086E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.701790	2.825827E-8	8.436000E-6	0.063927	2.846530E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698021	2.844947E-8	8.448000E-6	0.063682	2.930756E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.694631	2.822985E-8	8.440000E-6	0.062398	2.876943E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.708734	2.790402E-8	8.444000E-6	0.063810	2.945759E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.701985	2.777743E-8	8.432000E-6	0.066531	2.930998E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.700470	2.817142E-8	8.444000E-6	0.064088	2.829909E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698666	2.838597E-8	8.436000E-6	0.064400	2.898259E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.689205	2.828735E-8	8.432000E-6	0.064334	2.882199E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697941	2.791085E-8	8.444000E-6	0.060729	2.952632E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.703617	2.781019E-8	8.424000E-6	0.063714	2.936282E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696137	2.848420E-8	8.444000E-6	0.064523	2.939213E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.706336	2.796369E-8	8.424000E-6	0.063811	2.948702E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695768	2.850306E-8	8.444000E-6	0.064408	3.064720E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696571	2.819018E-8	8.432000E-6	0.063676	2.949001E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.701205	2.784940E-8	8.428000E-6	0.063843	2.944622E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696016	2.807480E-8	8.448000E-6	0.063551	2.948031E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696176	2.844175E-8	8.444000E-6	0.064205	2.895024E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697565	2.787317E-8	8.440000E-6	0.064296	2.889641E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.700089	2.778567E-8	8.444000E-6	0.062381	2.897849E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.705911	2.807026E-8	8.444000E-6	0.063574	2.848534E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.693244	2.850997E-8	8.444000E-6	0.064185	3.013470E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.702786	2.831863E-8	8.440000E-6	0.064920	2.988763E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.703491	2.802819E-8	8.432000E-6	0.064584	2.953507E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.693795	2.817743E-8	8.436000E-6	0.068655	2.870126E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695643	2.799022E-8	8.436000E-6	0.064922	2.875022E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695915	2.822112E-8	8.436000E-6	0.062905	2.863212E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.701720	2.824898E-8	8.440000E-6	0.062478	2.835586E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697428	2.841747E-8	8.432000E-6	0.064046	2.905777E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.704582	2.816844E-8	8.432000E-6	0.064259	2.866400E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696047	2.785632E-8	8.436000E-6	0.064912	2.920645E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697966	2.818902E-8	8.444000E-6	0.065578	2.854343E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.690170	2.835933E-8	8.444000E-6	0.064182	2.953073E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695074	2.813986E-8	8.448000E-6	0.063210	2.923893E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.701514	2.774849E-8	8.432000E-6	0.062166	2.965008E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.691904	2.824729E-8	8.448000E-6	0.063445	2.973724E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.696237	2.837411E-8	8.448000E-6	0.063298	2.962285E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.702024	2.813606E-8	8.448000E-6	0.063282	2.913666E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.705491	2.791550E-8	8.440000E-6	0.066095	2.888365E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.707634	2.792485E-8	8.424000E-6	0.063724	2.944141E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.697954	2.794908E-8	8.428000E-6	0.062928	3.026129E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.699583	2.817952E-8	8.440000E-6	0.065064	2.883613E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.704243	2.774772E-8	8.432000E-6	0.061678	2.995500E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.705789	2.791182E-8	8.448000E-6	0.063713	2.997887E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.698237	2.781179E-8	8.440000E-6	0.064505	2.850612E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.700505	2.775260E-8	8.432000E-6	0.064649	2.969538E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.703777	2.789616E-8	8.452000E-6	0.040976	3.623090E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.695631	2.798960E-8	8.444000E-6	0.064277	2.840654E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.694862	2.834374E-8	8.432000E-6	0.063455	2.848623E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.704794	2.789970E-8	8.432000E-6	0.062160	2.957428E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.701832	2.816060E-8	8.440000E-6	0.063347	2.822473E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.430772	3.531293E-8	8.432000E-6	0.064938	2.932677E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
