x y time dx dy dt dr^2 TotalDisplacementSquared
16
1.10186733556299E-05 2.23266443701226E-05 0 0 0 0 0 0
1.09964552238806E-05 2.2234328358209E-05 0.1420142 -2.22181317492804E-08 -9.23160119136739E-08 0.1420142 9.01589143407396E-15 9.01589143407396E-15
1.11254649000465E-05 2.21827638307764E-05 0.2830283 1.29009676165893E-07 -5.15645274325713E-08 0.1410141 1.9302397033773E-14 3.21060435614517E-14
1.11216866182129E-05 2.21859769132108E-05 0.4250425 -3.77828183357742E-09 3.21308243438878E-09 0.1420142 2.45993123441189E-17 3.03990657020503E-14
1.10918534982605E-05 2.21720622342482E-05 0.5670567 -2.98331199523787E-08 -1.39146789626103E-08 0.1420142 1.08363333672553E-15 2.92509700069553E-14
1.10876283758083E-05 2.21688855077976E-05 0.7080708 -4.22512245224205E-09 -3.17672645051914E-09 0.1410141 2.79432506778678E-17 2.96426534498794E-14
1.1090622371741E-05 2.22106812447435E-05 0.850085 2.99399593266791E-09 4.17957369458399E-08 0.1420142 1.75584763849068E-15 1.86241073670523E-14
1.1191083758631E-05 2.23652056439508E-05 0.9920992 1.00461386890082E-07 1.54524399207283E-07 0.1420142 3.39702802062504E-14 3.12123189022724E-14
1.10890838786437E-05 2.23720999405116E-05 1.1331133 -1.01999879987376E-07 6.89429656083362E-09 0.1410141 1.04515068425079E-14 7.02385063046176E-15
1.09762947693893E-05 2.21848106158207E-05 1.2751275 -1.12789109254333E-07 -1.87289324690933E-07 0.1420142 4.77986743095718E-14 2.1912758431137E-14
1.09573138647724E-05 2.22490134175217E-05 1.4161416 -1.89809046169032E-08 6.42028017010396E-08 0.1410141 4.482274486339E-15 9.79155192001213E-15
1.09149236387782E-05 2.22018592297477E-05 1.5581558 -4.23902259942093E-08 -4.715418777403E-08 0.1420142 4.02044868446862E-15 2.6335335005196E-14
1.09211615487316E-05 2.21400534045394E-05 1.70017 6.23790995342333E-09 -6.18058252082889E-08 0.1420142 3.85887155026458E-15 4.43247409218453E-14
1.06579826319305E-05 2.2185036740147E-05 1.8411841 -2.63178916801115E-07 4.49833356075722E-08 0.1410141 7.12866427309916E-14 1.50150519030087E-13
1.08701410060976E-05 2.21685403963415E-05 1.9831983 2.12158374167034E-07 -1.64963438054961E-08 0.1420142 4.52833050881483E-14 4.70587253829857E-14
1.09010103181427E-05 2.18700558899398E-05 2.1252125 3.08693120451728E-08 -2.98484506401653E-07 0.1420142 9.00459149879808E-14 2.22317630626358E-13
14
1.05032816229117E-05 2.91130668257757E-05 0 0 0 0 0 0
1.05094117647059E-05 2.91064705882353E-05 0.1420142 6.13014179418769E-09 -6.59623754036431E-09 0.1420142 8.10889881057582E-17 8.10889881057582E-17
1.09807692307692E-05 2.90981781376518E-05 0.2830283 4.71357466063347E-07 -8.29245058347183E-09 0.1410141 2.22246625550339E-13 2.2821608869156E-13
1.10048143053645E-05 2.91024759284732E-05 0.5670567 2.4045074595282E-08 4.2977908213544E-09 0.2840284 5.96636618236796E-16 2.5164719867399E-13
1.025E-05 2.938125E-05 0.850085 -7.54814305364512E-07 2.78774071526826E-07 0.2830283 6.47459618538555E-13 1.36073795441827E-13
1.06378472222222E-05 2.97045138888889E-05 0.9920992 3.87847222222222E-07 3.23263888888889E-07 0.1420142 2.54925009645061E-13 3.67917528983069E-13
1.05006784260516E-05 2.96502713704206E-05 1.1331133 -1.37168796170661E-07 -5.42425184682642E-08 0.1410141 2.17575294526883E-14 2.885954994211E-13
1.04976790450928E-05 2.9638925729443E-05 1.4161416 -2.99938095872321E-09 -1.13456409776553E-08 0.2830283 1.37719855329403E-16 2.76558975444405E-13
1.04402123730379E-05 2.95096952908587E-05 1.5581558 -5.74666720549803E-08 -1.29230438584244E-07 0.1420142 2.00029246537508E-14 1.612918695938E-13
1.02302761341223E-05 2.94444033530572E-05 1.70017 -2.09936238915569E-07 -6.52919378015255E-08 0.1420142 4.83362615518931E-14 1.84315891220136E-13
1.02029369282619E-05 2.94493259508907E-05 1.8411841 -2.73392058603719E-08 4.9225978335059E-09 0.1410141 7.71664146506228E-16 2.03277134827407E-13
1.01724885844749E-05 2.94420091324201E-05 1.9831983 -3.04483437870307E-08 -7.31681847061694E-09 0.1420142 9.80637471905169E-16 2.17627075378816E-13
9.99049316696375E-06 2.93247177658942E-05 2.1252125 -1.8199541751113E-07 -1.17291366525855E-07 0.1420142 4.6879596656553E-14 3.07748121006549E-13
9.91727672035139E-06 2.9239934114202E-05 2.2662266 -7.32164466123653E-08 -8.47836516921845E-08 0.1410141 1.2548915648803E-14 3.59497054697378E-13
13
3.74708377518558E-06 2.33881230116649E-05 0 0 0 0 0 0
3.44714765100671E-06 2.3665548098434E-05 0.4250425 -2.99936124178867E-07 2.77425086769107E-07 0.4250425 1.66926357356287E-13 1.66926357356287E-13
3.52306273062731E-06 2.36397601476015E-05 0.5670567 7.59150796205947E-08 -2.57879508325303E-08 0.1420142 6.42811772194224E-15 1.13506676587342E-13
3.45315845824411E-06 2.36199143468951E-05 0.7080708 -6.99042723831949E-08 -1.98458007063991E-08 0.1410141 5.28046310310201E-15 1.4011931502693E-13
3.52012383900929E-06 2.36042311661507E-05 0.850085 6.69653807651764E-08 -1.56831807444036E-08 0.1420142 4.73032437928669E-15 9.82135470643927E-14
3.61115214180207E-06 2.36466026587888E-05 0.9920992 9.10283027927803E-08 4.23714926381002E-08 0.1420142 1.00814952977147E-14 8.52891369315913E-14
3.36920172599784E-06 2.36367313915858E-05 1.4161416 -2.41950415804225E-07 -9.87126720301035E-09 0.4240424 5.86374456240308E-14 2.04600969665198E-13
3.36464968152866E-06 2.36353503184713E-05 1.5581558 -4.55204446918023E-09 -1.38107311442326E-09 0.1420142 2.26284717967771E-17 2.07377177221952E-13
3.36252711496746E-06 2.36382863340564E-05 1.70017 -2.12256656120013E-09 2.9360155850604E-09 0.1420142 1.31254763224425E-17 2.10465512788065E-13
3.47137901127493E-06 2.36186036426713E-05 1.8411841 1.08851896307473E-07 -1.96826913851069E-08 0.1410141 1.22361436698942E-14 1.29134438112129E-13
3.56947115384615E-06 2.3621875E-05 1.9831983 9.80921425712187E-08 3.27135732870687E-09 0.1420142 9.63277021298437E-15 8.61862353096747E-14
3.64341317365269E-06 2.3640119760479E-05 2.1252125 7.3942019806541E-08 1.82447604790426E-08 0.1420142 5.80029357800854E-15 7.42499550350882E-14
3.84317343173432E-06 2.3630073800738E-05 2.5492549 1.99760258081623E-07 -1.00459597410349E-08 0.4240424 4.0005082015955E-14 6.77734064287545E-14
17
2.55049645390071E-05 3.17010638297872E-05 0 0 0 0 0 0
2.55005190311419E-05 3.1628892733564E-05 0.1410141 -4.44550786522058E-09 -7.21710962232187E-08 0.1410141 5.22842967024083E-15 5.22842967024083E-15
2.56059409340659E-05 3.1618646978022E-05 0.2830283 1.05421902924064E-07 -1.02457555420372E-08 0.1420142 1.1218753122758E-14 1.69887698139758E-14
2.56958098307816E-05 3.16492747784045E-05 0.4250425 8.98688967156929E-08 3.06278003825327E-08 0.1420142 9.01448075316814E-15 3.91040312356303E-14
