x y time dx dy dt dr^2 TotalDisplacementSquared
14
6.69841358196493E-05 1.75814082939048E-05 0 0 0 0 0 0
6.69021889600277E-05 1.78061948433985E-05 0.1640164 -8.19468596216382E-08 2.24786549493697E-07 0.1640164 5.72442806351306E-14 5.72442806351306E-14
6.69277273686432E-05 1.79212914116902E-05 0.3280328 2.55384086154891E-08 1.15096568291719E-07 0.1640164 1.3899430347142E-14 1.18702447100448E-13
6.72467159277504E-05 1.80041735084839E-05 0.4920492 3.1898855910724E-07 8.28820967936217E-08 0.1640164 1.0862314281022E-13 2.4767873982844E-13
6.72800471327573E-05 1.81249672689186E-05 0.6550655 3.33312050068457E-08 1.20793760434712E-07 0.1630163 1.57021017871669E-14 3.8301986454326E-13
6.68389010302841E-05 1.83151732750546E-05 0.8190819 -4.41146102473155E-07 1.90206006136073E-07 0.1640164 2.30788208497491E-13 5.59504191603758E-13
6.68662062798092E-05 1.7987529809221E-05 0.9830983 2.73052495251136E-08 -3.27643465833649E-07 0.1640164 1.08095817355114E-13 1.78842061569603E-13
6.69139157273215E-05 1.81064814814815E-05 1.1471147 4.77094475123039E-08 1.18951672260494E-07 0.1640164 1.64256917154971E-14 2.80632713678446E-13
6.69738684671168E-05 1.79663665916479E-05 1.3111311 5.99527397952499E-08 -1.40114889833569E-07 0.1640164 2.32265133620302E-14 1.48298309529291E-13
6.70526054316626E-05 1.79024067122985E-05 1.4741474 7.87369645458398E-08 -6.39598793493903E-08 0.1630163 1.02903757522814E-14 1.07728072380511E-13
6.6975348763475E-05 1.8075776791376E-05 1.6381638 -7.72566681876583E-08 1.73370079077507E-07 0.1640164 3.60257770987991E-14 2.44477423648157E-13
6.69724675324675E-05 1.8108961038961E-05 1.8021802 -2.88123100742155E-09 3.31842475850088E-08 0.1640164 1.10949577990129E-15 2.78448047742113E-13
6.68930862437634E-05 1.82055416963649E-05 1.9661966 -7.93812887041696E-08 9.65806574038943E-08 0.1640164 1.56292123809031E-14 3.97832529335456E-13
6.70062962962963E-05 1.8181975308642E-05 2.130213 1.13210052532935E-07 -2.35663877229584E-08 0.1640164 1.33718906248187E-14 3.61171825915524E-13
14
3.02475570032573E-05 3.6807003257329E-05 0 0 0 0 0 0
3.05E-05 3.66617424242424E-05 0.3280328 2.52442996742673E-07 -1.45260833086567E-07 0.3280328 8.48281762334246E-14 8.48281762334246E-14
3.03196656050955E-05 3.66132563694267E-05 0.6550655 -1.8033439490446E-07 -4.8486054815676E-08 0.3270327 3.48713914971463E-14 4.27375070308664E-14
3.01290322580645E-05 3.68861290322581E-05 0.8190819 -1.90633347031024E-07 2.72872662831311E-07 0.1640164 1.10800563120901E-13 2.03090034811464E-14
2.98448338150289E-05 3.71479407514451E-05 0.9830983 -2.84198443035613E-07 2.61811719187023E-07 0.1640164 1.49314131327531E-13 2.78424341231027E-13
2.96605113636364E-05 3.709375E-05 1.1471147 -1.84322451392539E-07 -5.41907514450841E-08 0.1640164 3.69114036295379E-14 4.26846277430419E-13
2.94967948717949E-05 3.76264245014245E-05 1.310131 -1.63716491841491E-07 5.32674501424502E-07 0.1630163 3.10545214168727E-13 1.23509495331308E-12
2.96791930379747E-05 3.79347310126582E-05 1.4741474 1.82398166179812E-07 3.08306511233724E-07 0.1640164 1.28321995894869E-13 1.59480748717172E-12
2.97233025708635E-05 3.81044825313118E-05 1.6381638 4.41095328888608E-08 1.69751518653577E-07 0.1640164 3.07612289768691E-14 1.95829517629948E-12
2.90396294390118E-05 3.85560988162635E-05 2.1292129 -6.83673131851709E-07 4.51616284951704E-07 0.4910491 6.71366220049503E-13 4.51842427474848E-12
2.89022712731926E-05 3.8691298784389E-05 2.2932293 -1.37358165819258E-07 1.35199968125491E-07 0.1640164 3.71462970983645E-14 5.36036332881418E-12
2.88531073446328E-05 3.93095393307258E-05 2.7842784 -4.91639285598104E-08 6.18240546336771E-07 0.4910491 3.84638465006224E-13 8.2071766490903E-12
2.91849423917362E-05 3.9483214143822E-05 2.9482948 3.31835047103425E-07 1.73674813096241E-07 0.1640164 1.40277439190147E-13 8.29125452160195E-12
2.91375579598145E-05 3.925E-05 3.1123112 -4.73844319216639E-08 -2.33214143822011E-07 0.1640164 5.66341212671722E-14 7.20033096114507E-12
15
1.67675E-05 2.89720833333333E-05 0 0 0 0 0 0
1.67687292555714E-05 2.89317211948791E-05 0.1640164 1.22925557136355E-09 -4.03621384542454E-08 0.1640164 1.6306132898594E-15 1.6306132898594E-15
1.68363414066139E-05 2.90405798789008E-05 0.3280328 6.76121510425176E-08 1.08858684021705E-07 0.1640164 1.64216160555336E-14 9.43091601925275E-15
1.66942391899288E-05 2.88926518883415E-05 0.4910491 -1.42102216685036E-07 -1.4792799055925E-07 0.1630163 4.20757303776983E-14 1.16765007457656E-14
1.63689851767389E-05 2.8895724059293E-05 0.6550655 -3.25254013189962E-07 3.07217095150136E-09 0.1640164 1.05799611330531E-13 1.64644803090799E-13
1.6398114075437E-05 2.88296343146274E-05 0.8190819 2.91288986981009E-08 -6.60897446656285E-08 0.1640164 5.2163470893322E-15 1.56737684195553E-13
1.66422728854856E-05 2.86393143056039E-05 0.9830983 2.44158810048571E-07 -1.90320009023516E-07 0.1640164 9.58352303590454E-14 1.26417056025607E-13
1.67169511710996E-05 2.86648471615721E-05 1.1461146 7.46782856140875E-08 2.55328559681516E-08 0.1630163 6.2287730761496E-15 9.69492493417257E-14
1.66015785420945E-05 2.87867684804928E-05 1.310131 -1.15372629005186E-07 1.21921318920762E-07 0.1640164 2.81756515309466E-14 6.18715248768047E-14
1.67728095582911E-05 2.89035119478639E-05 1.4741474 1.71231016196639E-07 1.16743467371052E-07 0.1640164 4.29490980815496E-14 4.73022631444895E-15
1.67384615384615E-05 2.88981900452489E-05 1.6381638 -3.43480198295545E-08 -5.32190261499821E-09 0.1640164 1.20810911365499E-15 6.30345027245451E-15
1.63555702917772E-05 2.8690450928382E-05 1.8021802 -3.82891246684352E-07 -2.07739116866904E-07 0.1640164 1.89761247464138E-13 2.49002896035223E-13
1.66352030947776E-05 2.90215667311412E-05 1.9651965 2.79632803000375E-07 3.31115802759236E-07 0.1630163 1.8783217935074E-13 1.99510777900456E-14
1.68838383838384E-05 2.8972095959596E-05 2.1292129 2.48635289060822E-07 -4.94707715452378E-08 0.1640164 6.42668642036395E-14 1.35346197135501E-14
1.68775671406003E-05 2.88471563981043E-05 2.2932293 -6.27124323806782E-09 -1.24939561491697E-07 0.1640164 1.56492225174886E-14 2.77215145856583E-14
14
3.54896870554765E-05 2.63472617354196E-05 0 0 0 0 0 0
3.52460585585586E-05 2.63462837837838E-05 0.1640164 -2.43628496917971E-07 -9.77951635846352E-10 0.1640164 5.93558008999118E-14 5.93558008999118E-14
3.49665641813989E-05 2.66769792467333E-05 0.3270327 -2.79494377159637E-07 3.306954629495E-07 0.1630163 1.87476596079237E-13 3.82371178650085E-13
3.51610429447853E-05 2.68197852760736E-05 0.4910491 1.94478763386357E-07 1.42806029340338E-07 0.1640164 5.82155514242402E-14 3.31285447964227E-13
3.47024847428073E-05 2.69300348735833E-05 0.6550655 -4.58558201977958E-07 1.1024959750964E-07 0.1640164 2.22430598352295E-13 9.59312011636837E-13
3.469140625E-05 2.67067057291667E-05 0.8190819 -1.10784928073215E-08 -2.23329144416592E-07 0.1640164 4.99986397487289E-14 7.66452229033079E-13
3.50164909894594E-05 2.67714212852771E-05 0.9820982 3.25084739459371E-07 6.47155561104498E-08 0.1630163 1.09868191032052E-13 4.03825840629424E-13
3.50155862282878E-05 2.66866470223325E-05 1.1461146 -9.04761171526047E-10 -8.47742629446131E-08 0.1640164 7.1874942505799E-15 3.39953967313931E-13
