x y time dx dy dt dr^2 TotalDisplacementSquared
81
9.72536806342016E-06 2.43428652321631E-05 0 0 0 0 0 0
9.7271702367531E-06 2.43404735062007E-05 0.1260126 1.80217333294053E-09 -2.39172596240422E-09 0.1260126 8.96818180120037E-18 8.96818180120037E-18
9.72352620087336E-06 2.43452510917031E-05 0.2510251 -3.64403587973783E-09 4.77758550237795E-09 0.1250125 3.61043207253486E-17 9.08478338577826E-18
9.68015521064301E-06 2.45339985218034E-05 0.3770377 -4.3370990230347E-08 1.88747430100346E-07 0.1260126 3.75066351630458E-14 3.8576136464978E-14
9.72311529933481E-06 2.43456208425721E-05 0.5030503 4.2960088691796E-08 -1.88377679231341E-07 0.1260126 3.73317192529928E-14 1.26683347503082E-17
9.72542735042735E-06 2.43440170940171E-05 0.6290629 2.31205109253985E-09 -1.6037485549667E-09 0.1260126 7.91758968207247E-18 1.33030067995035E-18
9.7219730941704E-06 2.43441704035874E-05 0.7550755 -3.45425625694773E-09 1.53309570350757E-10 0.1260126 1.19553901130237E-17 1.32292886537635E-17
9.72687224669603E-06 2.43447136563877E-05 0.880088 4.89915252563122E-09 5.43252800220273E-10 0.1250125 2.4296819074346E-17 5.67923944144874E-18
9.72084233261339E-06 2.43434125269978E-05 1.0061006 -6.02991408264408E-09 -1.30112938982307E-09 0.1260126 3.80528015331308E-17 2.07817709714931E-17
9.72747252747253E-06 2.43425824175824E-05 1.1321132 6.6301948591363E-09 -8.30109415424829E-10 0.1260126 4.46485655116943E-17 4.50875303474271E-18
9.72426868905742E-06 2.43437161430119E-05 1.2581258 -3.20383841510541E-09 1.13372542950074E-09 0.1260126 1.15499139396018E-17 1.93267326211287E-18
9.72142857142857E-06 2.43472527472527E-05 1.3841384 -2.84011762884973E-09 3.53660424082847E-09 0.1260126 2.05738377019489E-17 3.47698858138194E-17
9.73040313549832E-06 2.43421052631579E-05 1.510151 8.97456406974939E-09 -5.14748409485222E-09 0.1260126 1.07039392748793E-16 2.5929503721128E-17
9.72652838427948E-06 2.43441593886463E-05 1.6351635 -3.87475121884506E-09 2.0541254883959E-09 0.1250125 1.9233128530019E-17 3.02118549959505E-18
9.72532894736842E-06 2.4343475877193E-05 1.7611761 -1.19943691105462E-09 -6.83511453306806E-10 0.1260126 1.90583681040183E-18 3.74417418046972E-19
9.72995545657016E-06 2.43413140311804E-05 1.8871887 4.62650920173502E-09 -2.16184601258362E-09 0.1260126 2.60781655758625E-17 2.34504004013125E-17
9.72403640256959E-06 2.43442184154176E-05 2.0132013 -5.9190540005627E-09 2.90438423715855E-09 0.1260126 4.34706480586323E-17 3.60442554112502E-18
9.72638004246284E-06 2.43458067940552E-05 2.1392139 2.34363989325104E-09 1.5883786376456E-09 0.1260126 8.01559464576664E-18 9.67688794801864E-18
9.72810421286031E-06 2.43425720620843E-05 2.2652265 1.7241703974662E-09 -3.23473197094515E-09 0.1260126 1.34362544833534E-17 7.57246245395818E-18
9.72944078947368E-06 2.4344024122807E-05 2.390239 1.33657661337416E-09 1.45206072275883E-09 0.1250125 3.89491738599764E-18 1.79301250316679E-17
9.72967706013363E-06 2.43424276169265E-05 2.5162516 2.36270659945248E-10 -1.59650588051363E-09 0.1260126 2.60465485126557E-18 1.87589597719877E-17
9.72081497797357E-06 2.4346640969163E-05 2.6422642 -8.86208216006246E-09 4.21335223649066E-09 0.1260126 9.62888372804381E-17 3.49867769764744E-17
9.72474167623421E-06 2.43441446613088E-05 2.7682768 3.92669826064562E-09 -2.49630785415533E-09 0.1260126 2.1650512132875E-17 2.02929984573085E-18
9.71895424836601E-06 2.43415032679739E-05 2.8942894 -5.78742786820108E-09 -2.64139333498292E-09 0.1260126 4.04712800797227E-17 4.29919700015362E-17
9.73183297180043E-06 2.43411062906724E-05 3.020302 1.28787234344223E-08 -3.96977301406309E-10 0.1260126 1.6601910827817E-16 4.48889155328192E-17
9.72932745314223E-06 2.43423373759647E-05 3.1453145 -2.50551865820725E-09 1.23108529226812E-09 0.1250125 7.79319474346354E-18 1.59553991373687E-17
9.72297297297297E-06 2.43443243243243E-05 3.2713271 -6.35448016925366E-09 1.98694835960822E-09 0.1260126 4.43273820051878E-17 7.86540818520522E-18
9.72652081109925E-06 2.43495197438634E-05 3.3973397 3.54783812627879E-09 5.1954195390671E-09 0.1260126 3.95795395571976E-17 4.56113531812388E-17
9.73079064587973E-06 2.43402004454343E-05 3.5233523 4.26983478048015E-09 -9.3192984290944E-09 0.1260126 1.05080812263119E-16 3.65054888407686E-17
9.72451317296678E-06 2.43413516609393E-05 3.6493649 -6.27747291295222E-09 1.15121550498998E-09 0.1260126 4.07319633117782E-17 3.02173553677212E-18
9.72378804960541E-06 2.43452649379932E-05 3.7753775 -7.25123361368318E-10 3.91327705394673E-09 0.1260126 1.58395411901481E-17 8.2550317260669E-18
9.71822272215973E-06 2.43419572553431E-05 3.90039 -5.56532744568194E-09 -3.3076826501528E-09 0.1250125 4.19136340917826E-17 5.18803236336473E-17
9.72441601779755E-06 2.43395439377086E-05 4.0264026 6.19329563782323E-09 -2.41331763451669E-09 0.1260126 4.41810128625494E-17 1.19373877211191E-17
9.71935853379152E-06 2.43407789232531E-05 4.1524152 -5.05748400603068E-09 1.23498554458479E-09 0.1260126 2.71033337665895E-17 4.04671312251184E-17
9.7233368532207E-06 2.43426610348469E-05 4.2784278 3.9783194291747E-09 1.88211159373353E-09 0.1260126 1.93693695318151E-17 4.16751141834042E-18
9.72638248847926E-06 2.43456221198157E-05 4.4044404 3.04563525856594E-09 2.96108496878489E-09 0.126012599999999 1.80439183205838E-17 8.62948772952829E-18
